keyword,doc_id,Frecuencia
activewatch,252,2
admin,252,1
alerts,252,1
auditable records,252,1
availability,252,2
clustering,252,1
custom software,252,1
discover,252,1
downtime,252,1
email,252,1
external monitoring,252,1
firewall,252,1
freshwater software,252,2
freshwater software's siteseer,252,1
internet connection,252,1
load balancing,252,1
measuring,252,1
mercury interactive,252,2
nines,252,2
pager,252,1
performance monitoring,252,1
periodic reports,252,1
priced services,252,1
raid,252,1
remote hosts,252,1
remote locations,252,1
siteseer,252,2
track,252,1
uptime,252,3
web site,252,1
additive composite,2024,1
additive images,2024,1
background shifts,2024,1
binocular image,2024,2
binocular parallax,2024,1
component,2024,2
constituent phasors,2024,1
foreground,2024,2
fourier component,2024,1
fourier transform,2024,2
inverse fourier transform,2024,1
magnitudes,2024,1
occluding images,2024,1
occluding objects,2024,1
resultant,2024,1
segmentation,2024,3
short baseline binocular image pairs,2024,1
spatial shift,2024,1
translucent,2024,2
translucent objects,2024,1
adjacency matrix,2119,1
heterogeneous,2119,2
heterogeneous territory,2119,2
optimal solution,2119,1
stepwise optimization algorithm,2119,1
transport nets,2119,1
transport routes,2119,1
av software,1987,2
baddies who,1987,1
deploys,1987,1
detects,1987,1
filter data packets,1987,1
firewall,1987,1
hackers,1987,1
internet resources,1987,1
intrusion attempts,1987,1
mcafee,1987,1
rule,1987,1
scenes,1987,1
software,1987,4
top notch programmers,1987,1
trojan,1987,2
trojan horses,1987,2
virus,1987,5
viruses,1987,2
virusscan,1987,1
anchor target,2016,2
automatic camera calibration,2016,1
automatic method,2016,1
calibration process,2016,1
camera calibration,2016,3
camera parameters,2016,1
computer vision inspection,2016,1
fully,2016,3
fully automatic algorithm,2016,1
interactive roi specification,2016,1
intrinsic parameters,2016,1
radon transform,2016,1
region of interest,2016,2
roi location algorithm,2016,1
rotation angle,2016,1
time/space consumption problem,2016,1
zoom lens,2016,1
2d vhf images,2007,1
3d hexahedral finite element mesh,2007,1
3d polygonal representation,2007,1
biological soft tissues,2007,1
biomechanical research,2007,1
combined viscoelastic,2007,1
data set,2007,1
finite element model,2007,3
human kidney,2007,1
hyperelastic material model,2007,1
image segmentation,2007,1
kidney for,2007,2
medicine visible human female,2007,1
meshing software,2007,1
national library,2007,1
organ reconstruction software package,2007,1
polygonal surfaces,2007,1
trauma research,2007,2
breakdowns,316,1
convolution model,316,1
discrete scores,316,1
dual,316,2
duality revisited,316,1
egghe,316,1
fractional frequency distributions,316,4
fractional frequency distributions based,316,1
fractional frequency distributions of,316,1
laws,316,2
lotka,316,3
reworked,316,1
combining,29,1
computational intelligence,29,1
conventional neural networks,29,1
dynamic topology,29,1
fnn,29,3
fnns,29,2
fpnn,29,6
fpnns,29,2
fuzzy modeling,29,2
fuzzy models,29,1
fuzzy neural networks,29,1
fuzzy polynomial neural networks,29,2
fuzzy sets,29,1
generalization capabilities,29,1
genetic algorithms,29,1
hybrid architectures,29,1
hybrid modeling architecture,29,1
network,29,8
networks exhibit high accuracy,29,1
neural networks,29,6
pnn,29,10
pnns,29,4
polynomial neural networks,29,3
required approximation error,29,1
additional restrictions,330,4
authentication,330,2
computer security,330,1
computer systems,330,1
crackability,330,1
increases security,330,1
minimum character length,330,1
notoriously weak method,330,1
password,330,10
password checking,330,1
password restrictions,330,2
proactive,330,3
proactive password restrictions,330,2
resistant,330,1
restrictions,330,9
security,330,3
user,330,3
users,330,2
accountability,371,1
accurate,371,1
atm,371,1
automatic teller machine,371,1
ballot box,371,1
balloting,371,1
electronic voting systems,371,1
greater opportunity,371,1
internet,371,1
kiosk,371,1
lever machines,371,1
polls,371,1
pose,371,1
reliability,371,1
technology available,371,1
update,371,1
voting online,371,1
voting systems,371,2
widespread,371,1
asymmetry,248,1
behaviour,248,3
consequence,248,1
distributed system,248,1
dynamic changes,248,1
knowledge,248,2
n processors,248,1
negligible loss,248,1
nonreactive behaviour,248,1
proof technique,248,1
protocol stabilizing,248,1
quiescence time,248,2
synchronous network,248,1
topology,248,1
unique identifiers,248,1
breach,2165,1
data protection,2165,2
distress caused,2165,1
firm field,2165,1
legal implications,2165,1
mirror group newspapers,2165,1
naomi,2165,2
naomi campbell,2165,2
online publishers should,2165,1
sued,2165,1
waterhouse,2165,1
bureaucratic structure,2182,1
catalyst,2182,1
characterizes,2182,1
environmental,2182,1
face unstable environments,2182,1
historical linkage,2182,1
information processing perspective,2182,1
information technology,2182,2
organization,2182,6
organization design,2182,1
organizational design,2182,1
organizational structures,2182,2
shadow structure,2182,2
stability,2182,2
support mechanism,2182,1
unstable environment,2182,2
bid/request,1944,1
certificate authorization,1944,1
electronic devices,1944,1
electronic government procurement system,1944,2
electronic government procurement system functions,1944,1
electronic tendering,1944,1
government procurement,1944,5
government procurement efficient,1944,1
information infrastructures,1944,1
internet,1944,1
lesson learned,1944,1
nondiscriminating,1944,1
online bidding,1944,1
online payment,1944,1
reengineers internal procurement processes,1944,1
render,1944,1
taiwan,1944,2
taiwan government procurement law,1944,1
tgpl,1944,1
vendor registration,1944,1
combines,214,1
computer industry,214,1
confusion,214,1
parallel computing architectures,214,1
product innovation,214,2
strategic analysis,214,1
technological,214,1
technology strategy,214,1
usa,214,1
affine invariants,1973,2
computing complexity,1973,1
convex polygons,1973,1
correspondence,1973,1
discrimination power,1973,1
image registration,1973,1
independent,1973,1
invariants,1973,3
object recognition,1973,1
proposed,1973,1
addition,2021,2
carry,2021,2
incoherent correlator,2021,2
incoherent correlator based,2021,2
intermediate carry,2021,1
minterms needs,2021,1
modified,2021,2
msd,2021,2
msd addition techniques,2021,1
operand length,2021,1
operation,2021,1
reference digits,2021,1
simplifies,2021,1
symbolic substitution,2021,1
computer applications,1985,2
deregulation,1985,1
electric power industry,1985,1
exponential rate,1985,1
industry changes,1985,1
networked information systems,1985,1
power,1985,4
technology changes,1985,1
trends,1985,1
asexual,1957,1
biological ageing,1957,1
cellular automata model,1957,2
danuta,1957,1
lattice,1957,2
movable,1957,1
penna,1957,3
penna model,1957,2
planar lattice,1957,1
predation,1957,2
predation based,1957,1
restraining effect,1957,1
restraining factor,1957,1
sheep,1957,2
verhulst factor,1957,2
dynamic game problems,2140,1
static,2140,1
cad/cae software aids converter design,411,1
cad/cae tools,411,1
dc/dc power conversion,411,1
electronic,411,1
flyback converter example,411,1
magnetic components,411,1
power supply engineer,411,1
prototyping costs,411,1
providing,411,1
decision,282,2
ecology,282,1
entire internet,282,1
implementing,282,2
internet,282,6
internet inquiry project,282,3
internet inquiry projects,282,2
online support,282,3
study,282,1
web sites,282,3
classroom,2050,5
classroom edition,2050,1
classroom using,2050,1
its classroom,2050,1
microsoft powerpoint,2050,1
sample,2050,1
electrical power,212,1
eskom,212,1
growing pressure,212,1
key performers,212,1
knowledge management,212,2
power industry,212,2
simlib,2048,4
simulation package,2048,2
hybrid,2011,6
hybrid algorithm,2011,4
hybrid approach,2011,1
limitation,2011,1
local treatment,2011,1
phase,2011,3
phase inconsistency,2011,1
phase unwrapping algorithm,2011,1
postprocessor,2011,1
preprocessor,2011,1
proposed,2011,3
robustness,2011,1
speed,2011,1
stability,2011,1
unwrapping algorithms,2011,1
unwrapping problem,2011,1
wrapped map,2011,1
autotuner,40,2
controller parameters,40,1
genetic algorithm based,40,2
genetic algorithm based design method,40,1
performance assessment formulas,40,1
performance assessment rules,40,1
pid controller,40,5
pid controller design method,40,1
pid controller tuned,40,1
pid controllers,40,1
process dynamics,40,1
rules,40,2
simulation studies,40,1
tuning,40,6
tuning formula,40,2
tuning method,40,4
aggregate,26,1
arbitrary generator,26,1
determination of weights,26,1
measure,26,1
parametric functions,26,1
ratio,26,1
weighted means,26,3
weights,26,3
bayesian decision procedure requiring,2094,1
distributions restricted,2094,1
gauss' inequality,2094,1
generalization,2094,1
minimal probability content,2094,1
parameter space,2094,1
parameter subset,2094,1
partial prior information,2094,1
prior,2094,2
statistical inference,2094,1
degraded,349,2
designated,349,2
designated degraded qos,349,1
difference priority classes,349,1
priority areas,349,1
priority clients,349,2
qos,349,9
qos adjustment,349,1
qos areas,349,2
qos degradation,349,1
qos manager,349,1
resource partitioning,349,2
reward/penalty characteristics,349,1
reward/penalty requirements,349,1
service control scheme,349,1
servicing,349,1
simulation,349,1
system,349,3
system resources,349,1
varying workload,349,1
30th floors,293,1
active noise control,293,1
anc,293,2
coherence,293,5
effective,293,1
empty rectangular rooms,293,1
error signals,293,1
experimental,293,3
mode coupling theory,293,1
noise reduction,293,1
open window,293,2
rectangular room,293,3
room,293,5
sound pressure,293,1
traffic noise,293,3
traffic noise prediction methods,293,1
traffic noise transmission,293,1
wave theory,293,1
any speed,257,1
memory management,257,1
pointers,257,1
prides,257,1
programmers,257,1
secure sandbox programming model,257,1
sun,257,1
unsafe,257,2
chemical directory,270,1
compounds,270,1
diverse chemical libraries,270,1
functional groups,270,2
library,270,2
mddr,270,2
mdl drug data,270,1
meqnums,270,3
molecular equivalence indices,270,1
molecular equivalence number,270,2
molecular equivalence numbers,270,1
molecular structures,270,1
nonoverlapping,270,1
random,270,2
structural,270,3
structural features,270,2
topological shape,270,2
topological shapes,270,1
utility,270,1
background clutter,1977,1
contour detection,1977,1
contour tracking,1977,1
edge indicator function,1977,1
edge map,1977,2
inverted distance transform,1977,1
minimization,1977,1
object motion,1977,2
object motion allows,1977,1
spurious,1977,1
topographical distance,1977,1
tracking,1977,3
video,1977,2
watershed algorithm,1977,1
watershed segmentation,1977,1
advertising,2100,2
advertising campaign,2100,2
goods,2100,2
linear constraints,2100,1
mathematical,2100,1
nonlinear programming problems,2100,1
operations research problems,2100,1
optimization,2100,1
planning,2100,2
services,2100,2
changing patterns,240,1
cornell university library,240,1
creation,240,2
digital libraries,240,1
economic model,240,1
euclid,240,2
management,240,1
mathematics,240,1
partnerships,240,1
publisher,240,1
publishing,240,3
publishing initiative,240,1
research libraries,240,1
role of,240,1
scholarly communication,240,2
university press,240,1
bayes information criterion,391,2
distant,391,1
electroencephalogram,391,1
electromagnetic source analysis,391,2
empirical data,391,1
hotelling,391,2
magnetoencephalogram adequately,391,1
model selection,391,2
model selection procedures,391,1
msp residual variance,391,1
msps,391,4
noise,391,2
noise settings,391,1
source amplitudes,391,2
visual evoked,391,1
wald test,391,2
academic environment,2060,1
acquisitions policies,2060,1
decisions,2060,3
department,2060,2
development,2060,1
small academic library,2060,2
special collections,2060,2
special collections department,2060,1
abdelsalam,2189,1
app,2189,2
apps,2189,1
computer science courses,2189,1
helal's,2189,1
killer,2189,2
mobile computing,2189,3
mobile computing design,2189,1
motorola,2189,2
smart,2189,1
university,2189,1
classmates,414,2
communication link,414,1
education,414,1
electronic telecommunications,414,2
enrolling,414,1
fostering,414,2
fostering interpersonal relationships,414,2
instructor,414,3
interpersonal relationships,414,2
student attitudes,414,2
optimal control,2126,4
optimal control switching,2126,1
smooth nonlinear control system,2126,1
net code,408,1
net obfuscation,408,1
net platform,408,1
considers,408,1
functional obfuscator,408,1
il/native code assemblies,408,1
intellectual property,408,1
managed,408,2
managed extensions,408,1
microsoft,408,1
mixed,408,1
obfuscation,408,4
obfuscation options,408,1
obfuscator provides,408,1
protecting,408,1
renaming,408,1
reverse engineering,408,2
software development,408,1
