keyword,doc_id,Frecuencia
infection,10_1007_s00134_020_05954_2_page1,7
tilation,10_1007_s00134_020_05954_2_page3,2
strong binding affinity,10_1007_s00134_020_05985_9_page1,1
healthy volunteers,10_1007_s00134_020_05985_9_page2-2,1
gene ontology enrichment,10_1007_s00134_020_05985_9_page2,1
protein,10_1007_s00134_020_05985_9_page2,6
competitively,10_1007_s00134_020_05985_9_page3,1
receptor pilot trial,10_1007_s00134_020_05985_9_page3,1
severe,10_1007_s00134_020_05985_9_page3,2
234 dynamics,10_1007_s00134_020_05985_9_page5,1
group,10_1007_s13238_020_00693_y_page2-2,1
treated,10_1007_s13238_020_00693_y_page2-2,1
human,10_1007_s13238_020_00693_y_page2,5
older,10_1007_s13238_020_00693_y_page2,1
prevents,10_1007_s13238_020_00693_y_page2,1
systematic protective,10_1007_s13238_020_00693_y_page3-2,1
copyright holder,10_1007_s13238_020_00693_y_page3,1
events,10_1007_s13238_020_00693_y_page3,1
models,10_1007_s13238_020_00693_y_page3,2
epidemicspecifically,10_1007_s40609_018_0123_y_page1,1
literature,10_1007_s40609_018_0123_y_page1,9
varying income settings,10_1007_s40609_018_0123_y_page1,1
human effectiveness,10_1007_s40609_018_0123_y_page10-2,1
travel advisories,10_1007_s40609_018_0123_y_page10-2,1
et,10_1007_s40609_018_0123_y_page10,12
global centers,10_1007_s40609_018_0123_y_page10,1
texts,10_1007_s40609_018_0123_y_page10,1
indicate,10_1007_s40609_018_0123_y_page11-2,1
time frame,10_1007_s40609_018_0123_y_page11-2,1
note,10_1007_s40609_018_0123_y_page11,1
inequality,10_1007_s40609_018_0123_y_page12,1
travelers,10_1007_s40609_018_0123_y_page13-2,2
increased,10_1007_s40609_018_0123_y_page2,1
cost,10_1007_s40609_018_0123_y_page4-2,1
databases,10_1007_s40609_018_0123_y_page4,1
health,10_1007_s40609_018_0123_y_page5,5
pational,10_1007_s40609_018_0123_y_page5,1
human,10_1007_s40609_018_0123_y_page6-2,3
limited,10_1007_s40609_018_0123_y_page6-2,1
affected,10_1007_s40609_018_0123_y_page6,4
dengue means,10_1007_s40609_018_0123_y_page6,1
hits,10_1007_s40609_018_0123_y_page6,1
unusually small,10_1007_s40609_018_0123_y_page6,1
high,10_1007_s40609_018_0123_y_page7-2,1
acceptable cultural,10_1007_s40609_018_0123_y_page8-2,1
context,10_1007_s40609_018_0123_y_page8-2,3
poverty would,10_1007_s40609_018_0123_y_page8-2,1
sociopolitical,10_1007_s40609_018_0123_y_page8-2,1
deaths worldwide,10_1007_s40609_018_0123_y_page8,1
evidence,10_1007_s40609_018_0123_y_page8,4
glob,10_1007_s40609_018_0123_y_page8,6
identify,10_1007_s40609_018_0123_y_page8,1
highlight,10_1007_s40609_018_0123_y_page9-2,1
theme,10_1007_s40609_018_0123_y_page9-2,3
cultural,10_1007_s40609_018_0123_y_page9,2
pathways,10_1007_s40609_018_0123_y_page9,1
event,10_1017_ice_2020_61_page15,2
web survey,10_1017_ice_2020_61_page17,1
survey,10_1017_ice_2020_61_page18,1
improve possible case,10_1017_ice_2020_61_page2,1
deaths,10_1017_ice_2020_61_page3,2
iii,10_1017_ice_2020_61_page5,1
coronavirus,10_1017_ice_2020_61_page7,3
imposed,10_1017_S0950268820000424_page1-2,1
index,10_1017_S0950268820000424_page1,4
study,10_1017_S0950268820000424_page1,1
ncov,10_1017_S0950268820000424_page2-2,1
simulated,10_1017_S0950268820000424_page2-2,1
annual,10_1017_S0950268820000424_page2,1
country,10_1017_S0950268820000424_page2,10
people,10_1017_S0950268820000424_page2,2
series,10_1017_S0950268820000424_page2,1
1st,10_1017_S0950268820000424_page3,1
risk,10_1017_S0950268820000424_page3,7
countries currently reporting,10_1017_S0950268820000424_page5,1
case fatality,10_1017_S0950268820000424_page6,1
cell fusion,10_1128_mBio_02764_19_page1,1
zoonotic transmission uses spike,10_1128_mBio_02764_19_page1,1
cell,10_1128_mBio_02764_19_page12,18
domains fold,10_1128_mBio_02764_19_page12,1
liable,10_1128_mBio_02764_19_page12,1
increased viral,10_1128_mBio_02764_19_page13,1
within,10_1128_mBio_02764_19_page13,2
mg,10_1128_mBio_02764_19_page14-2,1
complementation,10_1128_mBio_02764_19_page15,1
indicated,10_1128_mBio_02764_19_page15,2
protein,10_1128_mBio_02764_19_page15,4
use,10_1128_mBio_02764_19_page2-2,3
membrane fusion,10_1128_mBio_02764_19_page2,4
receptors,10_1128_mBio_02764_19_page2,2
acids,10_1128_mBio_02764_19_page3,3
could,10_1128_mBio_02764_19_page3,3
virus,10_1128_mBio_02764_19_page3,11
target cells,10_1128_mBio_02764_19_page5,3
spikes bound,10_1128_mBio_02764_19_page7,1
neutralizing,10_1155_2019_1386740_page2-2,1
considered,10_1155_2019_1386740_page2,2
cross,10_1155_2019_1386740_page2,6
direct ervation,10_1155_2019_1386740_page2,1
reactivity 5,10_1155_2019_1386740_page3,1
serological analysis,10_1155_2019_1386740_page5,1
several binding assays,10_1155_2019_1386740_page6-2,1
cant b,10_1155_2019_1386740_page6,1
erence,10_1155_2019_1386740_page6,1
human coronavirus,10_1155_2019_1386740_page7-2,4
mapping,10_1155_2019_1386740_page7-2,1
mers,10_1155_2019_1386740_page7,2
coronavirus,10_1155_2019_1386740_page8,8
avoid duplication,10_1186_s12916_020_01533_w_page1-2,1
likely emerged,10_1186_s12916_020_01533_w_page1,1
designated,10_1186_s12916_020_01533_w_page2-2,1
variables,10_1186_s12916_020_01533_w_page2-2,1
affected countries,10_1186_s12916_020_01533_w_page2,3
emerging pandemic,10_1186_s12916_020_01533_w_page2,1
response,10_1186_s12916_020_01533_w_page2,3
cell epitopes,10_1186_s12967_019_2116_8_page1,5
identification,10_1186_s12967_019_2116_8_page1,1
analysis,10_1186_s12967_019_2116_8_page11,2
different countries,10_1186_s12967_019_2116_8_page11,3
